v8-version,6,1,534,50,0
code-creation,Stub,3,15944,0x3b7ad9046900,2254,"RecordWriteStub"
code-creation,Stub,3,15954,0x3b7ad90471e0,2275,"RecordWriteStub"
code-creation,Stub,3,15965,0x3b7ad9047ae0,2238,"RecordWriteStub"
code-creation,Stub,3,15975,0x3b7ad90483a0,2308,"RecordWriteStub"
code-creation,Stub,3,15986,0x3b7ad9048cc0,2284,"RecordWriteStub"
code-creation,Stub,3,15996,0x3b7ad90495c0,565,"CEntryStub"
code-creation,Stub,3,16006,0x3b7ad9049800,2300,"RecordWriteStub"
code-creation,Stub,3,16017,0x3b7ad904a100,2253,"RecordWriteStub"
code-creation,Stub,3,16027,0x3b7ad904a9e0,2266,"RecordWriteStub"
code-creation,Builtin,5,16038,0x3b7ad904b2c0,134,"StrictPoisonPillThrower"
code-creation,Builtin,5,16048,0x3b7ad904b360,124,"ReturnReceiver"
code-creation,Builtin,5,16058,0x3b7ad904b3e0,530,"GeneratorPrototypeNext"
code-creation,Builtin,5,16075,0x3b7ad904b600,338,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,16085,0x3b7ad904b760,335,"CreateIterResultObject"
code-creation,Builtin,5,16096,0x3b7ad904b8c0,534,"GeneratorPrototypeReturn"
code-creation,Builtin,5,16106,0x3b7ad904bae0,546,"GeneratorPrototypeThrow"
code-creation,Builtin,5,16117,0x3b7ad904bd20,1656,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,16135,0x3b7ad904c3a0,200,"ToBoolean"
code-creation,Builtin,5,16146,0x3b7ad904c480,4284,"ResolveNativePromise"
code-creation,Builtin,5,16157,0x3b7ad904d540,448,"StringEqual"
code-creation,Builtin,5,16167,0x3b7ad904d700,5296,"PerformNativePromiseThen"
code-creation,Builtin,5,16178,0x3b7ad904ebc0,828,"RejectNativePromise"
code-creation,Builtin,5,16188,0x3b7ad904ef00,2192,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,16199,0x3b7ad904f7a0,1680,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,16209,0x3b7ad904fe40,1024,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,16220,0x3b7ad9050240,491,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,16231,0x3b7ad9050440,980,"AsyncGeneratorResolve"
code-creation,Builtin,5,16241,0x3b7ad9050820,207,"AsyncGeneratorReject"
code-creation,Builtin,5,16251,0x3b7ad9050900,1024,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,16262,0x3b7ad9050d00,1024,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,16272,0x3b7ad9051100,134,"Illegal"
code-creation,Builtin,5,16283,0x3b7ad90511a0,134,"ObjectAssign"
code-creation,Builtin,5,16293,0x3b7ad9051240,134,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,16304,0x3b7ad90512e0,134,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,16314,0x3b7ad9051380,134,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,16325,0x3b7ad9051420,134,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,16336,0x3b7ad90514c0,134,"ObjectIs"
code-creation,Builtin,5,16346,0x3b7ad9051560,134,"ObjectPreventExtensions"
code-creation,Builtin,5,16357,0x3b7ad9051600,134,"ObjectSeal"
code-creation,Builtin,5,16389,0x3b7ad90516a0,972,"ObjectCreate"
code-creation,Builtin,5,16400,0x3b7ad9051a80,134,"ObjectDefineProperties"
code-creation,Builtin,5,16411,0x3b7ad9051b20,134,"ObjectDefineProperty"
code-creation,Builtin,5,16421,0x3b7ad9051bc0,134,"ObjectFreeze"
code-creation,Builtin,5,16432,0x3b7ad9051c60,134,"ObjectGetPrototypeOf"
code-creation,Builtin,5,16442,0x3b7ad9051d00,134,"ObjectSetPrototypeOf"
code-creation,Builtin,5,16453,0x3b7ad9051da0,134,"ObjectIsExtensible"
code-creation,Builtin,5,16463,0x3b7ad9051e40,134,"ObjectIsFrozen"
code-creation,Builtin,5,16473,0x3b7ad9051ee0,134,"ObjectIsSealed"
code-creation,Builtin,5,16484,0x3b7ad9051f80,640,"ObjectKeys"
code-creation,Builtin,5,16494,0x3b7ad9052200,134,"ObjectEntries"
code-creation,Builtin,5,16505,0x3b7ad90522a0,134,"ObjectValues"
code-creation,Builtin,5,16515,0x3b7ad9052340,134,"ObjectDefineGetter"
code-creation,Builtin,5,16526,0x3b7ad90523e0,134,"ObjectDefineSetter"
code-creation,Builtin,5,16536,0x3b7ad9052480,2155,"ObjectHasOwnProperty"
code-creation,Builtin,5,16546,0x3b7ad9052d00,134,"ObjectLookupGetter"
code-creation,Builtin,5,16557,0x3b7ad9052da0,134,"ObjectLookupSetter"
code-creation,Builtin,5,16567,0x3b7ad9052e40,319,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,16578,0x3b7ad9052f80,134,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,16588,0x3b7ad9053020,880,"ObjectProtoToString"
code-creation,Builtin,5,16598,0x3b7ad90533a0,139,"ObjectPrototypeValueOf"
code-creation,Builtin,5,16609,0x3b7ad9053440,134,"ObjectPrototypeGetProto"
code-creation,Builtin,5,16619,0x3b7ad90534e0,134,"ObjectPrototypeSetProto"
code-creation,Builtin,5,16630,0x3b7ad9053580,134,"FunctionConstructor"
code-creation,Builtin,5,16640,0x3b7ad9053620,160,"FunctionPrototypeApply"
code-creation,Builtin,5,16693,0x3b7ad90536c0,1392,"CallWithArrayLike"
code-creation,Builtin,5,16712,0x3b7ad9053c40,177,"CallVarargs"
code-creation,Builtin,5,16727,0x3b7ad9053d00,964,"FastFunctionPrototypeBind"
code-creation,Builtin,5,16742,0x3b7ad90540e0,134,"FunctionPrototypeBind"
code-creation,Builtin,5,16757,0x3b7ad9054180,143,"FunctionPrototypeCall"
code-creation,Builtin,5,16773,0x3b7ad9054220,134,"FunctionPrototypeToString"
code-creation,Builtin,5,16787,0x3b7ad90542c0,355,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,16802,0x3b7ad9054440,143,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,16816,0x3b7ad90544e0,1160,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,16831,0x3b7ad9054980,1136,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,16846,0x3b7ad9054e00,251,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,16860,0x3b7ad9054f00,259,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,16883,0x3b7ad9055020,116,"ArrayCode"
